corruption_levels,cross_margin
0.0,"(0.4098397988719252,)"
0.0,"(0.4346937368973513,)"
0.0,"(0.5562082735230466,)"
0.0,"(0.6084362585417893,)"
0.0,"(0.6654425250378988,)"
0.0,"(0.6006134063702773,)"
0.0,"(0.6195986836897872,)"
0.0,"(0.64911201794383,)"
0.0,"(0.5325737062784346,)"
0.0,"(0.5877482729440223,)"
0.0,"(0.5902797481467418,)"
0.0,"(0.6907576396481614,)"
0.0,"(0.5349429478670901,)"
0.0,"(0.5617704461247605,)"
0.0,"(0.6513793693360292,)"
0.0,"(0.6881255187392497,)"
0.0,"(0.5406038839055769,)"
0.0,"(-0.3676407548415276,)"
0.0,"(0.602524407635076,)"
0.0,"(0.6187311895379516,)"
0.0,"(0.6519821930492975,)"
0.0,"(0.6460171241336778,)"
0.0,"(0.5523232152816334,)"
0.0,"(0.6571376216819196,)"
0.0,"(0.6495105227361891,)"
0.0,"(0.6618646272905546,)"
0.0,"(0.6789095445747139,)"
0.0,"(0.6695554916835412,)"
0.0,"(0.4983917754958681,)"
0.0,"(0.6707896037671017,)"
0.0,"(0.5750668875507923,)"
0.0,"(0.6765016725300973,)"
0.0,"(0.628778371164085,)"
0.0,"(0.5809490130966168,)"
0.0,"(0.6341176521933759,)"
0.0,"(0.6237265198049814,)"
0.0,"(-0.6854539413914648,)"
0.0,"(0.6617056382140262,)"
0.0,"(0.656552199062666,)"
0.0,"(0.583941882732082,)"
0.0,"(0.6891915502605368,)"
0.0,"(0.5924962689417141,)"
0.0,"(0.6282326696274646,)"
0.0,"(0.5778936840493845,)"
0.0,"(0.6172457110929493,)"
0.0,"(0.6573741681461075,)"
0.0,"(0.6879243629446046,)"
0.0,"(0.6382245842349464,)"
0.0,"(0.5246307333778395,)"
0.0,"(0.4983893805433812,)"
0.0,"(0.4999971332550601,)"
0.0,"(0.6506541868060925,)"
0.0,"(0.6889624355666981,)"
0.0,"(0.6119641523374265,)"
0.0,"(0.5649974143083014,)"
0.0,"(0.597779855728092,)"
0.0,"(0.6823724095529069,)"
0.0,"(0.652241616479029,)"
0.0,"(0.637226150344111,)"
0.0,"(0.6111013297722794,)"
0.0,"(0.5341411747273054,)"
0.0,"(0.6741128757125681,)"
0.0,"(0.5589642235431466,)"
0.0,"(0.6001253083377458,)"
0.0,"(0.6582864218621278,)"
0.0,"(0.5734531586212124,)"
0.0,"(0.599644933230466,)"
0.0,"(0.654691087256572,)"
0.0,"(0.6504445030392724,)"
0.0,"(0.4783007888691589,)"
0.0,"(0.6750439179961301,)"
0.0,"(0.6597690540372321,)"
0.0,"(0.6323669206177265,)"
0.0,"(0.5292903331708019,)"
0.0,"(-0.46377226282034456,)"
0.0,"(0.6539563505705747,)"
0.0,"(0.44025638556549934,)"
0.0,"(0.6233457405244357,)"
0.0,"(0.5845994526015978,)"
0.0,"(0.6557142745494486,)"
0.0,"(-0.4706296448350786,)"
0.0,"(0.5290760173846084,)"
0.0,"(0.6560056068887036,)"
0.0,"(0.6337136761300379,)"
0.0,"(0.6175116558471693,)"
0.0,"(0.6269337200215488,)"
0.0,"(0.5669278065932437,)"
0.0,"(0.575675752756046,)"
0.0,"(0.6522270880125043,)"
0.0,"(0.5932603388591144,)"
0.0,"(0.5923986678409191,)"
0.0,"(0.6079694018634091,)"
0.0,"(0.5696726922998843,)"
0.0,"(0.673627208516158,)"
0.0,"(0.6504299043465901,)"
0.0,"(0.5662148917440538,)"
0.0,"(0.49834955229648664,)"
0.0,"(0.5088503857588671,)"
0.0,"(0.6486563463243954,)"
0.0,"(0.6391928212076603,)"
0.0,"(0.5973403928201396,)"
0.0,"(0.49803922828404223,)"
0.0,"(0.6147479204315938,)"
0.0,"(0.6656649069038418,)"
0.0,"(0.6543319522187131,)"
0.0,"(0.6425542021790843,)"
0.0,"(0.6769704128542627,)"
0.0,"(0.5091019088372647,)"
0.0,"(0.4981412311665664,)"
0.0,"(0.6107838200345687,)"
0.0,"(0.6785484839817073,)"
0.0,"(0.569700436451403,)"
0.0,"(0.634541493456173,)"
0.0,"(0.6917923298426201,)"
0.0,"(0.640607555649362,)"
0.0,"(0.6616535365918493,)"
0.0,"(0.6159774132406481,)"
0.0,"(0.6686706759700219,)"
0.0,"(0.6756952650754484,)"
0.0,"(0.2738468283557981,)"
0.0,"(0.6128693314522743,)"
0.0,"(0.601713253318394,)"
0.0,"(0.6822235881297436,)"
0.0,"(0.6215802843484567,)"
0.0,"(0.6431169066524457,)"
0.0,"(0.6911038173152664,)"
0.0,"(0.6171330138972829,)"
0.0,"(0.49839179182904453,)"
0.0,"(0.5928663914693078,)"
0.0,"(0.6025916502535918,)"
0.0,"(0.6393431692861898,)"
0.0,"(0.6078766047724006,)"
0.0,"(0.6655937215349407,)"
0.0,"(0.6332813621158448,)"
0.0,"(0.6504932378985916,)"
0.0,"(0.6609809305242909,)"
0.0,"(0.6238388103146515,)"
0.0,"(0.6262672242197863,)"
0.0,"(0.6240308133747273,)"
0.0,"(0.6130105526647928,)"
0.0,"(0.551568742051962,)"
0.0,"(0.6284014995693076,)"
0.0,"(0.677704182322374,)"
0.0,"(0.6539521942159986,)"
0.0,"(0.5890336888768093,)"
0.0,"(0.025159857709749503,)"
0.0,"(0.6722706475354372,)"
0.0,"(0.6517567925930458,)"
0.0,"(0.5797880079867185,)"
0.0,"(0.649273566777256,)"
0.0,"(0.6828739458743788,)"
0.0,"(0.49824068351139494,)"
0.0,"(0.6570530930218101,)"
0.0,"(0.5038289422992557,)"
0.0,"(0.6153168907210728,)"
0.0,"(0.6638423280766058,)"
0.0,"(0.6730359864758411,)"
0.0,"(0.5849241200562209,)"
0.0,"(0.4972571144107012,)"
0.0,"(0.6905704068125289,)"
0.0,"(0.5994206597819548,)"
0.0,"(0.575207921963387,)"
0.0,"(0.6819448292631883,)"
0.0,"(0.6290604279165355,)"
0.0,"(0.6060665043185732,)"
0.0,"(0.6247664625929251,)"
0.0,"(0.6262143335168064,)"
0.0,"(0.6459821193373602,)"
0.0,"(0.6836080596117734,)"
0.0,"(0.6700954192797525,)"
0.0,"(0.6789594190450767,)"
0.0,"(0.6822294174883605,)"
0.0,"(0.655072975172784,)"
0.0,"(0.13971055840652444,)"
0.0,"(0.6547402912178343,)"
0.0,"(0.533302115579727,)"
0.0,"(0.6526317986363741,)"
0.0,"(0.5287491222459852,)"
0.0,"(0.6501305508676383,)"
0.0,"(0.4625442987177229,)"
